,Vmag,Plx,e_Plx,B-V,SpType
95370, 5.91,  12.07,  1.06, 1.278,K3III
95371, 7.58,  19.78,  1.17, 0.528,F6V
95372, 7.02,   5.22,  0.88, 0.689,K0III+...
95373, 8.14,   0.99,  0.76, 0.009,A0
95374, 9.23,   3.30,  1.37, 0.116,B9
95375, 9.44,   9.20,  1.81, 0.629,G3/G5V
95376, 8.73,   2.62,  1.41, 0.072,B9
95377, 8.23,   6.16,  1.02, 0.445,F3/F5V
95378, 8.27,   2.86,  1.25, 0.051,A0V
95379, 7.90,   1.83,  1.17, 1.285,K2III
95380, 8.57,   1.11,  1.23, 1.500,K5
95381, 8.40,  38.24,  1.15, 1.006,K5V
95382, 6.88,   4.31,  0.85, 1.550,M2III
95383, 7.80,  11.08,  1.14, 0.403,F2/F3V
95384, 8.11,  10.60,  2.35, 0.523,F8
95385, 9.51,   1.93,  1.46, 1.068,K0III
95386,10.60,   4.04,  2.60, 1.200,
95387, 8.48,   1.36,  0.75, 0.020,A0
95388, 9.47,  -1.09,  1.43, 1.505,A5
95389, 9.86,   2.46,  0.96, 1.103,G5
95390, 8.69,   5.37,  1.29, 0.150,B9
95391, 5.02,  14.78,  1.11, 0.235,A4IV/V
95392, 8.71,   4.34,  2.35, 0.148,A0
95393, 8.68,  -0.60,  1.15, 1.383,K3III
95394, 6.80,  10.02,  0.58, 1.129,K0
95395, 8.55,  15.18,  1.14, 0.601,G0
95396, 7.79,   5.26,  0.91, 1.302,K2III
95397, 9.84,   7.84,  1.77, 0.563,F8
95398, 8.60,   3.96,  1.10, 0.960,G8/K0III
95399, 5.72,   4.51,  0.84, 1.372,K2III
95400, 7.27,   2.75,  1.15,-0.002,B7IV
95401, 6.31,   8.16,  0.74,-0.014,A0V
95402, 7.66,   2.33,  0.93, 1.256,K0III
95403, 7.62,   1.12,  1.02, 1.603,K4/K5III:
95404, 9.25,   1.12,  0.77, 1.260,K0
95405, 8.40,   5.57,  0.73, 0.495,F8
95406, 6.19,  36.05,  0.73, 0.528,F7V
95407, 9.84,       ,      ,      ,F0/F2V
95408, 8.59,  10.62,  1.14, 0.679,G5
95409, 9.23,   3.22,  0.89, 0.264,A2
95410, 8.73,   2.65,  1.24, 0.951,G5
95411, 7.92,   4.38,  0.59, 0.435,A5.0-F7.0
95412, 5.14,  13.78,  0.74, 0.999,K0III
95413, 9.06,   2.22,  1.35, 1.939,K5
95414, 9.73,   1.71,  1.34, 0.450,B5
95415, 9.71,   2.21,  1.59, 0.348,A2m...
95416, 5.45,   6.45,  1.03, 1.442,K3III
95417, 3.36,  65.05,  0.81, 0.319,F0IV
95418, 8.34,   4.54,  0.73, 0.500,F8
95419, 7.24,   2.47,  0.68, 0.727,F8
95420, 9.15,   4.12,  0.86, 0.050,A0
95421, 8.06,   5.04,  1.04, 1.348,K5
95422, 8.97,   4.40,  0.94, 0.520,F6IV/V
95423, 8.52,   6.21,  1.14, 0.679,G1V
95424, 8.86,   0.43,  1.13, 0.146,B9
95425, 7.81,   5.49,  0.93, 0.124,A0
95426, 7.37,   1.68,  0.90, 0.080,B8
95427, 8.17,   3.75,  0.94, 1.197,K2III
95428, 9.10,   3.43,  1.28, 0.340,F0IV
95429, 9.03,  11.26,  1.48, 0.551,G0V
95430, 7.60,  10.11,  1.14, 0.467,F5IV
95431, 6.79,   9.69,  1.05, 1.296,K3III
95432, 9.06,  10.55,  1.37, 0.833,K0V
95433, 9.57,  11.47,  2.02, 0.686,G5V
95434, 6.60,   2.60,  0.52,-0.139,B8IVwe...
95435, 7.41,   5.03,  1.22, 0.082,A0...
95436, 8.09,  11.22,  1.27, 0.486,F5...
95437, 8.42,   2.09,  0.62, 1.423,K5
95438, 7.36,   0.95,  0.62, 1.630,K5
95439, 8.98,   2.00,  1.34, 1.635,K5
95440, 8.98,   2.98,  1.35, 0.097,A0
95441,10.03,   2.94,  1.58, 0.710,F5
95442, 7.88,   2.57,  0.69, 1.019,K2
95443, 8.46,  10.02,  1.00, 0.449,F5V
95444, 8.71,   1.25,  1.39, 1.140,G8IV
95445, 9.22,   3.21,  1.67, 1.807,K5III
95446, 6.66,  15.64,  0.87, 0.953,K0III
95447, 7.87,   1.06,  1.14, 1.700,M...
95448, 6.68,   6.77,  0.55, 1.016,G5
95449, 8.84,   2.38,  1.57, 0.003,A0V
95450, 7.95,   2.86,  1.03, 0.160,B9
95451, 7.48,   1.84,  0.65, 1.620,K5
95452, 9.77,   3.80,  0.96, 0.760,G5
95453, 8.34,   2.40,  1.16, 1.066,G8/K0IV
95454, 9.10,   1.34,  1.50, 0.133,A0
95455, 9.27,   0.02,  1.43, 0.308,B9
95456, 8.05,   3.18,  1.39, 0.833,F0
95457, 7.08,   3.71,  0.53,-0.151,B8
95458, 9.01,   7.11,  0.99, 0.625,G1IV/V
95459, 7.51,   2.79,  0.59, 1.370,K2
95460, 8.31,   8.85,  1.13, 0.399,F0III
95461, 8.05,   4.46,  1.05, 0.224,A2
95462, 8.00,   7.27,  0.61, 0.327,A2
95463, 8.10,   4.23,  1.21, 0.445,F5
95464, 8.86,   3.66,  1.21, 0.606,F6V
95465, 8.48,   7.47,  0.96, 0.140,A2
95466, 8.06,   5.06,  1.11, 0.320,A2
95467, 9.48,   9.05,  1.67, 0.727,G2/G3V
95468, 8.03,   0.17,  1.01,-0.026,B8/B9V
95469, 9.92,   9.97,  2.11, 0.602,G6/G8V
95470, 5.17,   4.99,  0.51,-0.120,B9sp...
95471, 5.71,   3.78,  0.74, 0.007,B7IV
95472, 8.61,   1.12,  1.04, 0.158,B6V
95473, 8.27,   2.37,  1.00, 0.263,A0
95474, 5.60,  14.94,  0.71,-0.006,A0V
95475, 8.83,   3.01,  1.26, 1.148,K1III
95476, 7.92,   1.31,  0.98, 0.220,B8
95477, 7.50,   2.81,  0.99, 1.397,K3III
95478, 5.57,   5.86,  0.81, 1.228,K1/K2III
95479, 8.02,   5.71,  0.91, 0.054,A1V
95480, 8.04,   3.30,  0.63, 0.960,K0
95481, 7.99,   6.29,  1.00, 0.000,A0V
95482, 8.15,  11.85,  0.67, 0.593,G0
95483, 8.48,   3.16,  0.96, 0.144,A3V
95484, 8.34,   1.85,  1.01, 0.193,B8
95485, 7.91,  21.09,  0.98, 0.534,F8V
95486, 5.76,  17.96,  0.78, 0.456,F6III
95487, 9.29,   9.97,  1.68, 0.636,G2V
95488, 6.70,   7.82,  0.75, 0.054,A0V
95489, 8.01,  39.73,  1.03, 0.929,K3V
95490, 6.38,   4.78,  0.56, 1.413,K5III
95491, 9.34,  14.45,  4.77, 1.133,G8II/III
95492, 7.01,   1.77,  0.88, 1.522,K5III
95493, 9.97,   0.05,  1.80, 0.541,F5V
95494, 8.15,   5.09,  0.64, 0.020,A0
95495, 7.57,   3.75,  0.58, 0.138,A2
95496, 5.84,   7.17,  0.75, 1.558,M0III
95497, 9.18,   1.43,  1.15, 0.210,B8
95498, 6.64,   5.77,  0.79, 0.012,A1V
95499, 4.64,   0.28,  0.87, 0.576,F2Ib
95500, 6.91,  16.05,  0.85, 0.439,F5III
95501, 8.54,   4.61,  0.80, 0.014,A0
95502, 8.01,   9.17,  1.14, 0.393,F0
95503, 7.46,  13.96,  1.78, 0.573,F8
95504, 8.24,   9.81,  1.28, 0.438,G0
95505, 9.43,   0.70,  1.44, 0.350,B8
95506, 7.82,   0.96,  0.97, 1.655,M2III
95507, 8.63,   4.06,  3.42, 0.263,A2+...
95508, 8.93,   1.61,  1.75, 0.333,A5
95509, 8.74,   0.09,  1.39, 1.198,G8III/IV
95510,10.28,  -1.56,  6.10, 0.405,
95511, 8.26,   2.63,  1.16, 0.123,B9
95512, 9.57,   7.10,  1.47, 0.578,F8
95513, 8.75,   1.98,  2.11, 0.441,F
95514, 9.21,   4.65,  0.97, 0.005,A0
95515,10.27,   2.00,  1.13, 0.637,
95516, 9.69,   5.14,  1.60, 0.666,G0
95517, 6.65,   1.43,  0.89, 1.663,M1III
95518, 7.75,   2.81,  1.12, 0.089,A0V
95519, 7.42,   5.14,  0.62,-0.026,A0
95520, 8.47,   8.39,  1.40, 0.582,G0V
95521, 8.29,   4.69,  0.89, 0.395,F0III
95522, 7.43,   2.50,  0.90, 0.050,B2IV
95523, 9.26,   6.11,  1.25, 0.529,
95524, 7.87,   4.97,  0.92, 0.255,A3III
95525, 7.38,  12.60,  0.58, 0.508,F5
95526, 7.36,   2.24,  1.85, 0.028,B7V
95527, 8.90,   3.34,  1.40, 1.064,G8III
95528, 8.04,   3.06,  0.72, 1.121,G5
95529, 9.91,   2.95,  3.11, 0.486,F0V
95530, 7.74,   2.29,  0.66,-0.022,A0
95531, 8.94,   3.58,  2.08, 0.218,A2
95532, 8.81,   6.80,  1.20, 0.562,F5
95533, 5.66,  14.47,  0.90,-0.014,B8/B9V
95534, 7.06,   2.67,  1.26, 0.127,A0
95535, 7.87,   3.29,  0.69, 0.005,A0
95536, 7.99,  15.07,  0.95, 0.772,G5
95537, 7.80,   3.25,  1.23, 0.131,A2IV/V
95538, 7.14,   1.79,  0.92, 0.158,B5
95539, 7.69,   6.59,  1.48, 0.378,F2
95540, 8.41,  10.49,  1.15, 0.322,A9IV
95541, 8.10,   2.90,  0.97, 0.063,A0
95542,10.77,   7.31,  2.37, 0.868,
95543, 7.76,   2.93,  0.76, 1.458,K2
95544, 8.44,   3.80,  0.85, 1.004,K0
95545, 9.10,  14.62,  0.93, 0.790,G5
95546, 8.65,   5.54,  0.79, 0.296,F0
95547,10.38,   7.07,  1.72, 0.558,F8
95548, 9.00,   5.23,  1.80, 0.130,A2
95549, 8.44,   3.13,  1.21, 1.593,M0III
95550,10.29,   3.68,  2.36, 0.550,F5V
95551, 9.16,   4.91,  0.85, 0.403,F0
95552,10.57,   8.44,  1.31, 0.659,G5
95553, 9.07,   4.07,  1.67, 1.805,M1III:
95554, 9.46,  15.07,  1.36, 0.689,G5V
95555,10.56,  20.83,  2.15, 0.935,
95556, 8.60,   2.13,  1.18, 1.045,G8/K0III
95557, 7.90,   0.63,  1.36, 1.163,K2III
95558, 9.23,  22.94,  1.53, 0.812,G8/K0V
95559, 7.95,   4.54,  1.25, 1.018,G8III
95560, 8.12,   5.86,  2.34, 0.280,B9
95561,10.17,   2.34,  2.23, 0.592,F5IV/V
95562, 8.93,   2.97,  1.64, 1.102,G8II/III
95563, 9.58,  14.58,  4.14, 0.556,F8
95564, 8.41,   2.43,  0.92,-0.078,A2
95565, 8.39,   0.51,  1.00, 0.093,B2IV
95566,10.40,  15.12,  9.78, 0.473,
95567, 7.57,   3.38,  0.55, 0.038,B9
95568, 9.28,   2.62,  1.38, 0.461,F5
95569, 9.30,   8.92,  1.50, 0.626,G0V
95570, 5.73,   9.02,  0.52,-0.002,A1V
95571, 6.84,   2.70,  0.78, 1.009,B7Ia
95572, 9.71,   3.38,  1.31, 0.329,A0
95573, 9.02,  -0.04,  1.22, 0.132,A2
95574, 8.07,   2.98,  1.12, 0.433,F2
95575, 8.15,   5.47,  0.66, 0.327,A5
95576, 8.92,  14.25,  2.89, 0.683,G1V
95577, 8.83,   0.30,  0.86, 0.036,A
95578, 6.31,   3.91,  0.79,-0.068,B4III
95579, 7.97,   3.21,  1.08, 1.710,K5
95580, 8.52,   1.19,  0.86, 1.446,K5
95581, 8.98,   3.37,  1.74, 0.557,F5V
95582, 8.60,   1.78,  1.08, 0.341,A6m...
95583, 8.63,  15.18,  0.94, 0.558,F7V
95584, 8.49,   7.90,  1.10, 0.510,F3V
95585, 8.01,   8.42,  0.94, 0.254,A2m...
95586,11.03,       ,      , 1.500,M4-M9
95587, 6.30,   1.58,  0.54,-0.120,B3Ve
95588, 8.40,   2.78,  0.89, 1.353,K2
95589, 8.26,   0.57,  1.05, 0.100,A1V
95590, 9.53,  -5.39,  6.58, 1.500,Me
95591, 7.19,  19.06,  0.94, 0.482,F5V
95592, 8.40,   2.90,  1.17, 1.636,K5
95593, 7.55,   1.95,  1.30,-0.033,A0
95594, 6.73,   4.44,  0.87, 0.368,F0
95595, 8.72,   1.37,  0.71,-0.020,A0
95596, 7.39,   3.83,  0.98, 1.471,K0
95597, 8.76,   0.86,  1.21, 0.152,B9
95598, 7.15,  14.74,  0.93, 0.574,F8V
95599, 8.43,   3.15,  0.99, 0.261,A0
95600, 9.60,   0.35,  1.81, 1.050,G8IV/V
95601, 7.67,   3.76,  0.65, 1.021,K0
95602,10.21,   2.86,  1.05, 0.435,F8
95603, 8.68,   1.72,  1.09, 0.180,A0
95604, 5.70,   5.63,  0.71, 1.406,K4III
95605, 8.61,   3.37,  0.75, 0.536,F8
95606, 8.31,  -0.18,  0.64,-0.153,A5
95607, 7.82,   4.74,  0.57, 1.084,K0
95608, 9.97,   5.82,  1.71, 0.574,F8
95609, 7.87,   5.98,  3.08, 1.100,A6+G/KIII
95610, 8.06,  14.85,  1.25, 0.606,G0
95611, 7.24,   3.75,  0.93, 1.553,K2
95612, 7.38,   1.91,  0.94, 1.320,K2
95613, 7.36,   6.09,  0.67, 0.290,F0
95614, 6.88,   3.62,  0.79,-0.033,B3II
95615, 7.82,   6.04,  1.29, 1.231,K2III
95616,11.00,   5.89,  2.11, 0.644,A9.2
95617, 7.88,  10.39,  0.63, 0.724,G5
95618,11.65, -11.74, 32.24,      ,
95619, 8.64,   2.68,  1.15, 0.060,B8V
95620, 8.92,   2.22,  1.24, 0.937,K0III
95621, 8.31,   3.45,  1.05, 0.181,B9
95622, 8.49,   4.83,  1.14, 1.149,K0
95623, 8.39,   2.94,  1.26, 0.964,G8III
95624, 8.67,   2.47,  1.27, 0.104,B9
95625, 7.84,   2.94,  1.06, 1.176,K1III
95626, 9.18,   6.33,  2.72, 1.218,K2III
95627, 6.73,   1.76,  0.84, 1.584,K3III
95628, 8.37,   4.16,  1.39, 1.201,K2/K3III
95629, 7.63,  16.30,  0.96, 0.458,F6IV
95630, 8.65,  -0.09,  1.15, 1.714,M...
95631, 6.89,  13.23,  0.81, 0.315,Am
95632, 6.72,  18.19,  0.77, 0.510,F7V
95633, 7.44,   2.61,  0.59, 0.978,G5
95634, 7.05,  12.87,  0.69, 0.240,A7/A8III/IV
95635, 7.64,  11.15,  0.91, 0.459,F5
95636, 7.57,  26.29,  2.19, 0.741,G8V
95637,11.07,       ,      ,      ,
95638, 8.38,   4.62,  3.11, 0.401,F0
95639, 7.76,   3.93,  0.65, 1.010,G5
95640, 8.54,   6.62,  3.66, 0.388,
95641, 9.00,  24.85,  1.55, 0.780,K0V
95642, 6.57,   6.94,  0.65, 1.080,K1III
95643, 8.29,   2.58,  0.86, 0.018,A0
95644, 9.17,  36.33,  2.45, 1.080,K2
95645, 8.66,  12.32,  1.40, 0.680,G6V
95646, 5.84,   3.18,  0.81,-0.003,B6III
95647,11.02,   9.30,  1.60, 0.660,
95648, 7.51,  17.07,  1.62,      ,F8V
95649, 8.43,   5.75,  1.39, 0.996,K0III
95650, 9.17,   3.70,  1.52, 0.698,G3Vw...
95651, 7.96,   3.86,  0.66, 0.085,A0
95652, 8.40,   2.44,  0.68,-0.032,A2
95653, 9.07,   8.96,  1.35, 0.578,G0
95654, 7.86,  18.93,  1.06, 0.678,G2IV
95655, 7.78,   3.20,  1.13, 1.114,K1III
95656, 8.91,   3.66,  1.30, 0.077,A1/A2V:
95657, 8.86,   0.08,  1.78, 0.449,A9V
95658, 7.14,   2.19,  0.90, 1.521,K2
95659, 7.70,   5.45,  1.14, 0.993,G8III
95660, 9.01,   3.64,  1.24, 1.151,K1III
95661, 7.67,   4.73,  1.14, 0.999,K0III
95662, 8.19,  -0.72,  1.10, 1.584,M3
95663, 8.29,   1.30,  1.22, 1.460,K2
95664, 8.90,   3.62,  1.55, 0.991,G8II/III
95665, 7.73,   2.87,  0.81, 0.312,F0III
95666, 8.32,   2.41,  0.64,-0.027,A0
95667, 9.71,   4.27,  2.11, 0.692,G5V
95668, 8.47,   4.12,  0.73, 0.249,A5
95669, 6.77,   2.25,  0.81,-0.026,B2IV
95670, 9.98,  18.54,  1.67, 0.760,
95671, 7.45,   6.78,  0.85, 0.397,F0III
95672, 7.53,   1.81,  0.88, 1.227,G5Ib
95673, 8.02,   4.00,  1.20, 0.246,A3
95674, 8.65,  -1.20,  0.82,-0.158,B5
95675, 8.84,   4.33,  0.79, 0.206,A
95676, 8.00,   2.39,  0.61, 1.216,K5
95677, 7.82,   1.36,  1.07, 1.514,K5
95678, 6.90,   1.81,  0.62, 0.875,G5
95679, 9.53,   0.53,  1.55, 1.025,G6/G8III:
95680, 8.47,   2.38,  0.71, 0.888,K0
95681, 7.33,   4.85,  0.88, 0.016,A0
95682, 7.74,   4.31,  0.99, 0.956,G8III
95683, 8.19,  17.49,  0.94, 0.527,G5
95684, 7.95,   7.38,  0.84, 0.527,F8
95685, 4.44,  11.00,  0.68, 1.502,M0 comp
95686, 7.45,  22.37,  0.93, 0.623,G5
95687, 8.32,   8.15,  0.99, 0.493,F6V
95688, 7.46,   5.38,  1.34, 0.131,A0V
95689, 8.07,   1.83,  0.94, 0.120,A0
95690, 7.46,   4.35,  0.59, 0.947,G5
95691, 8.25,   0.10,  0.70, 1.600,N0v
95692, 9.31,   8.00,  1.59, 0.608,G0V
95693, 8.41,   2.05,  1.20, 1.750,M0III
95694, 8.66,   2.27,  0.68, 0.141,A0
95695, 7.70,  13.00,  0.73, 0.744,G5IV
95696, 7.88,   6.87,  1.35, 0.193,A2IV/V
95697, 9.11,   2.70,  1.80, 0.680,G6/G8III/IV
95698, 8.36,   1.30,  1.10, 0.030,B8V
95699, 5.82,   6.74,  0.72, 1.023,K0III
95700, 8.43,   1.81,  1.27, 1.693,M0III
95701, 8.17,   2.60,  1.20, 0.055,A0
95702, 8.77,   2.28,  0.81, 1.029,G8
95703,10.00,  11.52,  2.20, 0.740,G8IV/V
95704, 7.95,   3.90,  1.18, 0.317,A5
95705, 7.45,   2.97,  1.00,-0.067,B8...
95706, 8.40,   2.90,  0.75,-0.050,A0
95707, 5.79,  16.95,  0.87, 0.088,A0V
95708, 8.29,   9.93,  1.02, 0.385,F0
95709, 8.87,  21.20,  1.36, 0.808,K0V
95710, 8.15,   5.72,  0.93, 0.367,F0
95711, 9.43,   7.64,  1.37, 0.574,F8ws
95712, 9.34,   2.99,  1.51, 1.247,K0III
95713, 9.72,   0.57,  1.52, 1.086,G8III
95714, 8.78,  11.00,  1.16, 0.409,F2V
95715, 8.89,  11.92,  0.86, 0.693,G0
95716, 8.54,   5.54, 13.32, 0.506,F7V
95717, 9.43,  -0.06,  1.33, 1.760,M2III:
95718, 9.85,   7.33,  1.84, 0.459,A9V
95719,10.12,   7.52,  1.75, 0.747,G5V
95720, 8.07,   0.53,  1.01, 0.144,B2III
95721, 8.30,   6.34,  1.39, 1.186,K0III
95722, 7.40,   3.05,  0.77, 1.230,K0III
95723, 9.13,   2.54,  1.70, 1.089,K1III
95724, 9.86,  -2.82,  2.29, 0.677,G2/G3V
95725,10.17,       ,      ,      ,
95726, 6.25,   5.41,  0.85, 1.317,K2
95727, 8.11,   3.87,  0.72, 0.107,A0
95728, 7.81,   6.63,  0.98, 1.347,K2
95729, 9.17,   1.66,  1.32, 1.310,K2/K3
95730,10.74,  11.55,  8.04, 0.378,F0
95731, 8.89,   4.15,  1.28, 0.622,F2
95732, 6.34,   4.29,  0.76,-0.097,B5Vn
95733, 8.52,   2.22,  1.16, 1.232,K2V
95734, 6.37,   2.05,  0.93, 0.870,F5-G1I-II
95735, 6.95,  27.47,  0.68, 0.718,G5
95736, 5.57,  11.38,  0.73, 1.050,K0III
95737, 5.70,  17.42,  0.87, 0.214,Am
95738, 9.38,  -0.55,  1.34, 1.567,K2
95739, 9.04,   1.43,  1.40, 1.344,K2III
95740, 7.64,   2.31,  0.94, 1.987,K5
95741, 8.04,  13.81,  1.48, 0.480,F5V
95742, 9.84,  11.32,  2.16, 0.571,F7V
95743,10.73,  21.04,  2.24, 1.280,K5
95744, 7.61,   7.71,  0.60, 1.180,K2
95745, 8.52,   1.32,  1.03,-0.029,B9...
95746, 7.67,   9.38,  1.56, 0.378,F0
95747, 6.66,  11.04,  0.56, 0.349,F0
95748, 8.07,  -0.53,  1.19, 0.200,B7V
95749, 8.53,   2.47,  0.76, 0.048,A0
95750, 9.02,   7.59,  1.41, 0.707,G3V
95751,10.15,   2.80,  2.44, 0.291,A1V
95752, 8.30,   9.42,  2.38, 0.410,
95753, 8.02,   2.41,  0.76,-0.037,B9
95754, 9.06,   6.52,  1.48, 0.915,G8III
95755, 9.81,   1.26,  1.53, 0.429,F0V
95756, 7.12,   5.33,  0.78, 0.121,A1V
95757, 9.24,   7.32,  0.88, 0.408,F2
95758, 8.48,  10.35,  1.10, 0.544,F8
95759, 7.83,   3.62,  1.19, 0.225,A3
95760, 8.40,   0.84,  1.20, 1.640,M0III
95761, 6.89,  15.08,  1.10, 0.471,F5/F6V
95762, 9.04,   1.48,  1.23, 0.934,G8III/IV
95763,11.11,   8.50,  5.91, 0.740,G0
95764, 7.13,  28.78,  0.96, 0.599,G2V
95765,10.84,   2.23,  3.21, 0.790,F2II
95766, 8.81,  12.46,  0.76, 0.467,G5
95767, 3.76,  26.63,  0.46, 0.148,A5Vn
95768, 9.59,   2.07,  1.56, 0.141,B9
95769, 8.18,   1.76,  1.25, 1.025,K0III
95770,11.74,   6.01,  3.22, 0.614,B
95771, 7.70,   5.04,  1.81, 0.927,G8/K0III
95772, 9.81,   2.92,  1.95, 1.231,G8IV/V
95773, 9.13,   5.81,  1.44, 0.587,F8
95774, 9.36,  -2.34,  5.89, 0.725,F
95775, 8.92,   7.66,  1.52, 0.536,F7V
95776, 9.16,   5.13,  1.32, 1.000,K0
95777, 8.31,   0.34,  1.52, 1.160,K4III
95778, 9.03,  21.79,  1.68, 0.754,G6V
95779, 5.46,  12.85,  1.35, 1.120,K1/K2III
95780, 6.14,   9.07,  0.76, 0.974,K0/K1III
95781, 7.35,   1.61,  0.92, 1.806,M0III
95782, 7.72,   3.42,  1.05, 0.331,A5
95783, 8.05,   0.80,  1.02, 0.064,B9
95784, 8.62,   5.54,  1.39, 1.377,K0III:
95785, 7.97,  10.83,  1.03, 0.435,F5IV
95786, 8.69,   2.66,  0.81, 0.370,F2
95787, 7.63,   4.29,  0.80, 1.350,K3II
95788, 8.36,   4.01,  0.81, 0.043,A0
95789, 7.95,   8.61,  0.61, 1.008,K0
95790, 7.81,  11.90,  0.63, 0.444,F5
95791, 8.58,   1.64,  1.20, 1.438,K3III
95792, 8.31,   8.70,  0.74, 0.510,F8
95793, 6.88,   3.37,  0.54,-0.023,A0
95794, 9.04,   0.86,  1.41, 1.438,K2
95795, 7.83,   4.48,  1.00,-0.032,B9IV/V
95796, 8.32,   0.93,  1.43, 1.601,K4III
95797, 8.57,   3.42,  1.05, 1.182,K0III/IV
95798, 7.70,   6.85,  0.92, 0.109,B9V
95799, 8.91,   1.92,  1.31, 0.175,A2
95800, 9.42,   6.00,  1.71, 0.673,G3V
95801, 7.34,   9.47,  0.89, 0.208,A3
95802, 8.64,   2.77,  0.83, 1.043,K2
95803, 8.90,   0.57,  1.25, 1.426,K3III
95804, 9.98,  33.64,  1.55, 1.160,K5
95805, 9.87,  13.28,  2.82, 0.780,G6V
95806, 9.52,   1.60,  1.43, 0.535,Fm
95807, 7.73,  10.35,  1.04, 0.337,Fm
95808, 9.87,  -0.51,  0.81,-0.125,B8
95809, 9.11,   9.64,  1.43, 0.630,G1/G2V
95810,10.28,   2.71,  1.96, 0.492,F3/F5V
95811, 9.83,   3.45,  1.96, 0.480,F3V
95812, 6.08,   1.96,  0.85, 1.820,K5Ib
95813, 6.88,   9.63,  0.53, 0.960,K0
95814, 9.97,   4.52,  1.78, 0.990,G2
95815, 6.92,   3.92,  0.51, 0.052,A0
95816, 6.99,   3.30,  0.58, 1.391,M5e-M7
95817,11.33,  28.85,  2.62, 1.370,M0
95818,10.01,   5.12,  1.38, 0.518,G0V
95819, 6.60,  20.27,  0.91, 0.394,F3V
95820, 8.25,   3.94,  1.02, 1.430,K3III
95821, 8.80,   0.70,  0.80, 1.207,K0
95822, 6.55,   7.04,  0.66, 1.128,K0
95823, 8.48,   7.08,  1.08, 0.595,F8
95824, 8.97,   0.76,  1.37, 1.521,K5
95825, 7.65,   1.21,  0.60, 1.587,K5
95826, 8.43,   4.66,  1.13, 0.138,A1V
95827, 9.38,   3.54,  1.07, 0.965,K0
95828, 9.51,   1.48,  1.46, 0.430,B5III
95829, 7.29,   3.93,  0.86, 0.109,A0
95830, 7.87,   4.21,  0.66, 0.965,K0
95831, 9.41,   0.19,  1.44, 0.151,A2
95832, 9.00,   9.27,  1.40, 0.968,G8IV
95833, 7.25,   4.39,  0.82, 0.170,A0
95834, 9.89,   7.33,  0.98, 0.690,G5
95835,10.74,  15.39,  2.61, 0.825,
95836, 8.32,   2.82,  0.65, 0.036,A0
95837, 8.58,   5.23,  1.20, 0.960,G5III
95838, 9.36,  10.12,  1.38, 0.461,B9
95839, 7.89,  13.39,  1.56, 0.483,F6V
95840, 6.91,  16.17,  0.95, 0.915,K0
95841, 8.07,   9.55,  0.97, 0.416,F5
95842, 9.75,   3.40,  1.80, 0.528,G0
95843, 6.09,   3.39,  0.83,-0.019,A0sh
95844, 8.60,  10.09,  0.90, 0.463,F5V
95845, 6.68,   4.35,  0.51, 0.015,A0
95846, 6.29,  27.25,  0.77, 0.450,F5V
95847, 9.40,   2.49,  1.39, 0.272,F
95848, 7.54,   1.18,  0.74, 1.480,K2
95849, 7.35,   1.58,  1.00, 1.208,G2Ib
95850, 8.66,   1.85,  1.42, 1.143,G8/K0III
95851, 5.03,   6.49,  0.75, 1.770,M1IIIvar
95852, 7.81,  19.90,  0.71, 0.561,F5
95853, 9.55,   7.78,  1.82, 0.569,F7V
95854, 7.99,   5.26,  0.90,-0.058,B8/B9V
95855, 9.41,   6.49,  1.52, 0.688,G2/G3V+...
95856, 7.32,   5.06,  0.92, 1.085,K1III
95857, 7.76,   1.79,  0.63, 1.693,M0
95858, 7.47,   5.76,  0.95, 0.089,B9
95859, 7.35,   5.85,  0.52, 1.153,K0
95860, 7.93,   2.55,  0.99, 1.694,M0III
95861, 3.05,   8.46,  0.58, 1.088,K3II+...
95862, 9.15,   0.00,  1.47, 1.631,K4III
95863, 8.28,   3.57,  1.06, 0.166,A1V
95864, 8.75,  11.87,  1.23, 0.622,G2V
95865, 5.12,   8.67,  0.65,-0.095,B8V
95866, 7.43,   1.22,  0.87,-0.012,B5III
95867, 6.26,   4.30,  0.54,-0.015,B9.5III
95868, 8.42,  10.05,  1.23, 0.521,F5V
95869, 9.35,   4.86,  0.85, 0.391,F
95870, 8.66,   2.78,  1.35, 1.122,G8IV
95871, 7.47,   2.38,  0.90, 1.271,K0
95872, 9.10,   5.20,  1.02, 0.502,F5/F6V
95873, 8.28,   1.53,  0.71, 1.422,K2
95874, 8.64,   7.89,  1.08, 0.524,F8
95875, 8.41,   1.14,  1.02, 0.040,B5
95876, 7.27,  29.18,  1.00, 0.640,G0
95877, 9.69,  13.20,  1.48, 0.563,F8
95878, 8.07,   4.07,  0.67, 1.043,K2
95879, 9.40,   1.81,  1.37, 1.358,K0
95880, 6.11,   2.64,  0.90, 0.121,A2V
95881, 7.60,   4.95,  1.28, 1.118,K0III
95882, 8.91,   2.60,  1.17, 0.300,A0
95883, 7.93,   4.40,  0.87, 1.081,G8III
95884, 8.32,   3.41,  0.71, 1.393,K5
95885, 8.39,   6.06,  1.54, 0.182,A3V
95886, 9.39,   1.15,  1.73, 0.549,F6V
95887, 7.07,  16.67,  0.88, 0.490,F5
95888, 6.93,   3.53,  0.83, 1.282,K1III
95889, 9.59,   7.72,  1.37, 0.525,G5
95890, 7.73,   2.07,  1.00, 1.877,K5
